질문,실제원본정보,검색한정보
What are the credits required for graduation?,https://kau.ac.kr/web/pages/gc86720h.do,https://kau.ac.kr/web/pages/gc86720h.do
Please tell us about completing the liberal arts course in each area.,https://kau.ac.kr/web/pages/gc86720h.do,https://kau.ac.kr/web/pages/gc86720h.do
Are there any requirements regarding course completion?,https://kau.ac.kr/web/pages/gc86720h.do,https://kau.ac.kr/web/pages/gc86720h.do
What is the Engineering Education Certification Program?,https://kau.ac.kr/web/pages/gc86720h.do,http://college.kau.ac.kr/web/pages/gc75909h.do
Please tell us about early graduation.,https://kau.ac.kr/web/pages/gc86720h.do,https://kau.ac.kr/web/pages/gc78248h.do
Please tell us about the completion system.,https://kau.ac.kr/web/pages/gc86720h.do,https://kau.ac.kr/web/pages/gc81492h.do
What is the graduation period after completion?,https://kau.ac.kr/web/pages/gc86720h.do,https://kau.ac.kr/web/pages/gc78248h.do
What are the requirements for obtaining the Graduation Certification System?,https://kau.ac.kr/web/pages/gc40674h.do,https://kau.ac.kr/web/pages/gc78248h.do
What is the certification process for the Graduation Certification System?,https://kau.ac.kr/web/pages/gc40674h.do,https://kau.ac.kr/web/pages/gc78248h.do
What are the criteria for obtaining an official English proficiency score?,https://kau.ac.kr/web/pages/gc40674h.do,https://kau.ac.kr/web/pages/gc45400h.do
What are the graduation certification fields and detailed certification scope?,https://kau.ac.kr/web/pages/gc40674h.do,https://kau.ac.kr/web/pages/gc86720h.do
What is the scope of certification for ethical character competency certification?,https://kau.ac.kr/web/pages/gc40674h.do,http://college.kau.ac.kr/web/pages/gc72769h.do
What is the detailed certification scope of ethical character competency certification?,https://kau.ac.kr/web/pages/gc40674h.do,http://college.kau.ac.kr/web/pages/gc72769h.do
Is Global Communication Competency Certification a required certification field?,https://kau.ac.kr/web/pages/gc40674h.do,http://college.kau.ac.kr/web/pages/gc9018h.do
When is the registration period?,https://kau.ac.kr/web/pages/gc29385h.do,https://kau.ac.kr/web/pages/gc74039h.do
Where can I register?,https://kau.ac.kr/web/pages/gc29385h.do,https://kau.ac.kr/web/pages/gc18564h.do
How do I register?,https://kau.ac.kr/web/pages/gc29385h.do,https://kau.ac.kr/web/pages/gc18564h.do
How can I check my tuition after paying it?,https://kau.ac.kr/web/pages/gc29385h.do,https://kau.ac.kr/web/pages/gc1021h.do
Where should I inquire about tuition?,https://kau.ac.kr/web/pages/gc29385h.do,https://kau.ac.kr/web/pages/gc1021h.do
Please tell us about research registration.,https://kau.ac.kr/web/pages/gc29385h.do,https://kau.ac.kr/web/pages/gc18564h.do
How do I print the tuition receipt after paying tuition?,https://kau.ac.kr/web/pages/gc29385h.do,https://kau.ac.kr/web/pages/gc1021h.do
Where should I go for inquiries regarding tuition payment?,https://kau.ac.kr/web/pages/gc29385h.do,https://kau.ac.kr/web/pages/gc1021h.do
Where is the finance team's contact information?,https://kau.ac.kr/web/pages/gc29385h.do,http://college.kau.ac.kr/web/pages/gc61816h.do
When is the registration period?,https://kau.ac.kr/web/pages/gc34817h.do,https://kau.ac.kr/web/pages/gc74039h.do
Where can I register?,https://kau.ac.kr/web/pages/gc34817h.do,https://kau.ac.kr/web/pages/gc18564h.do
How do I register?,https://kau.ac.kr/web/pages/gc34817h.do,https://kau.ac.kr/web/pages/gc18564h.do
What are the criteria for calculating tuition?,https://kau.ac.kr/web/pages/gc34817h.do,https://kau.ac.kr/web/pages/gc78248h.do
How do I confirm my registration after paying the tuition?,https://kau.ac.kr/web/pages/gc34817h.do,https://kau.ac.kr/web/pages/gc1021h.do
What should I do if I want a refund after paying tuition?,https://kau.ac.kr/web/pages/gc34817h.do,https://kau.ac.kr/web/pages/gc1021h.do
Where can I inquire about tuition?,https://kau.ac.kr/web/pages/gc34817h.do,https://kau.ac.kr/web/pages/gc1021h.do
Who is eligible to apply for installment collection of tuition?,https://kau.ac.kr/web/pages/gc3720h.do,https://kau.ac.kr/web/pages/gc1021h.do
When is the application period for tuition installment collection?,https://kau.ac.kr/web/pages/gc3720h.do,https://kau.ac.kr/web/pages/gc74039h.do
How do I apply for installment collection of tuition?,https://kau.ac.kr/web/pages/gc3720h.do,https://kau.ac.kr/web/pages/gc1021h.do
How do I pay tuition?,https://kau.ac.kr/web/pages/gc3720h.do,https://kau.ac.kr/web/pages/gc1021h.do
What should I keep in mind when applying for installment collection of tuition?,https://kau.ac.kr/web/pages/gc3720h.do,https://kau.ac.kr/web/pages/gc1021h.do
Where should I inquire about applying for installment collection of tuition?,https://kau.ac.kr/web/pages/gc3720h.do,https://kau.ac.kr/web/pages/gc1021h.do
What is the refund amount if I drop out or take a leave of absence according to the tuition refund criteria?,https://kau.ac.kr/web/pages/gc1463h.do,https://kau.ac.kr/web/pages/gc86171h.do
"According to the tuition refund standard, what is the refund amount if I withdraw or take a leave of absence within 30 days from the start of the semester?",https://kau.ac.kr/web/pages/gc1463h.do,https://kau.ac.kr/web/pages/gc86171h.do
"According to the tuition refund standard, what is the refund amount if I withdraw or take a leave of absence 30 to 60 days after the start of the semester?",https://kau.ac.kr/web/pages/gc1463h.do,https://kau.ac.kr/web/pages/gc86171h.do
"According to the tuition refund standard, what is the refund amount if I withdraw or take a leave of absence 60 days to 90 days from the start of the semester?",https://kau.ac.kr/web/pages/gc1463h.do,https://kau.ac.kr/web/pages/gc86171h.do
"According to the tuition refund standard, what is the refund amount if I withdraw or take a leave of absence after 90 days from the start of the semester?",https://kau.ac.kr/web/pages/gc1463h.do,https://kau.ac.kr/web/pages/gc86171h.do
What are the criteria for tuition refund for students on leave of absence?,https://kau.ac.kr/web/pages/gc1463h.do,https://kau.ac.kr/web/pages/gc86171h.do
"For 2020 registrants, what are the tuition refund criteria?",https://kau.ac.kr/web/pages/gc1463h.do,https://kau.ac.kr/web/pages/gc1021h.do
"For students enrolled in the 2020 school year, what is the refund amount if they withdraw or take a leave of absence within 30 days from the start of the semester?",https://kau.ac.kr/web/pages/gc1463h.do,https://kau.ac.kr/web/pages/gc86171h.do
"For 2020 school year registrants, what is the refund amount if they withdraw or take a leave of absence from 30 days to 60 days from the start of the semester?",https://kau.ac.kr/web/pages/gc1463h.do,https://kau.ac.kr/web/pages/gc86171h.do
"For 2020 school year registrants, what is the refund amount if they withdraw or take a leave of absence 60 days to 90 days from the start of the semester?",https://kau.ac.kr/web/pages/gc1463h.do,https://kau.ac.kr/web/pages/gc86171h.do
"For students enrolled in the 2020 academic year, what is the refund amount if they withdraw or take a leave of absence 90 days after the start of the semester?",https://kau.ac.kr/web/pages/gc1463h.do,https://kau.ac.kr/web/pages/gc86171h.do
What are the criteria for tuition refund for students on leave of absence?,https://kau.ac.kr/web/pages/gc1463h.do,https://kau.ac.kr/web/pages/gc86171h.do
What types of certificates are issued?,https://kau.ac.kr/web/pages/gc62866h.do,https://kau.ac.kr/web/pages/gc45400h.do
How can a certificate of issuance be issued?,https://kau.ac.kr/web/pages/gc62866h.do,https://kau.ac.kr/web/pages/gc45400h.do
What types of certificates can be issued using an unmanned issuance machine?,https://kau.ac.kr/web/pages/gc62866h.do,http://college.kau.ac.kr/web/pages/gc75909h.do
What types of certificates can be issued through mail?,https://kau.ac.kr/web/pages/gc62866h.do,https://kau.ac.kr/web/pages/gc45400h.do
Where is the relevant department that issues each certificate located?,https://kau.ac.kr/web/pages/gc62866h.do,http://college.kau.ac.kr/web/pages/gc46927h.do
“Which department should I contact when inquiring about issuance?”,https://kau.ac.kr/web/pages/gc62866h.do,https://kau.ac.kr/web/pages/gc81492h.do
Who can apply to use the facility?,https://kau.ac.kr/web/pages/gc25111h.do,https://kau.ac.kr/web/pages/gc81492h.do
What are included in the facility use principles?,https://kau.ac.kr/web/pages/gc25111h.do,http://college.kau.ac.kr/web/pages/gc72769h.do
What facilities are available for reservation?,https://kau.ac.kr/web/pages/gc25111h.do,https://www.kau.ac.kr/web/pages/gc13087b.do
How do I apply for a facility reservation?,https://kau.ac.kr/web/pages/gc25111h.do,https://kau.ac.kr/web/pages/gc81492h.do
Where should I inquire about using the facility?,https://kau.ac.kr/web/pages/gc25111h.do,http://college.kau.ac.kr/web/pages/gc46927h.do
Who should outsiders contact if they want to use our facilities?,https://kau.ac.kr/web/pages/gc25111h.do,http://college.kau.ac.kr/web/pages/gc61816h.do
Where should I inquire about using night lighting facilities?,https://kau.ac.kr/web/pages/gc25111h.do,http://college.kau.ac.kr/web/pages/gc83710h.do
Who is responsible for safety accidents that occur while using the facility?,https://kau.ac.kr/web/pages/gc25111h.do,http://college.kau.ac.kr/web/pages/gc95911h.do
What procedures do I need to follow after terminating use of the facility?,https://kau.ac.kr/web/pages/gc25111h.do,https://kau.ac.kr/web/pages/gc63682h.do
Who is eligible for part-time work?,https://kau.ac.kr/web/pages/gc29040h.do,https://kau.ac.kr/web/pages/gc81492h.do
How do I apply for a part-time job?,https://kau.ac.kr/web/pages/gc29040h.do,https://kau.ac.kr/web/pages/gc81492h.do
Where can I apply for a part-time job?,https://kau.ac.kr/web/pages/gc29040h.do,https://kau.ac.kr/web/pages/gc81492h.do
Who is eligible to apply for a student ID card?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc81492h.do
How do I apply for a student ID?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc81492h.do
How long does it take to issue a student ID?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc78248h.do
Where can I pick up my student ID?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc63682h.do
How much does it cost to issue a student ID?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc45400h.do
What is a mobile student ID (KAU ID)?,https://kau.ac.kr/web/pages/gc20177h.do,http://college.kau.ac.kr/web/pages/gc46927h.do
How do I install and download the mobile student ID (KAU ID)?,https://kau.ac.kr/web/pages/gc20177h.do,http://college.kau.ac.kr/web/pages/gc46927h.do
What should I do if I lose my student ID?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc1021h.do
How do I remove my lost student ID card?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc63682h.do
What functions does the Woori Bank International Student ID card provide?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc81492h.do
What procedures do I need to go through to receive a Woori Bank international student card?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc81492h.do
How much does it cost to issue a Woori Bank international student card?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc78248h.do
How long does it take for Woori Bank to issue an international student card?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc78248h.do
What documents are required to issue a student ID?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc81492h.do
Where can I get a student ID card issued?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc81492h.do
How much does it cost to issue a student ID?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc45400h.do
How long does it take to issue a student ID?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc78248h.do
What benefits does the Woori Bank International Student ID card provide?,https://kau.ac.kr/web/pages/gc20177h.do,http://college.kau.ac.kr/web/pages/gc81027h.do
What procedures do I need to go through to receive a Woori Bank international student card?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc81492h.do
How much does it cost to issue a Woori Bank international student card?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc78248h.do
How long does it take for Woori Bank to issue an international student card?,https://kau.ac.kr/web/pages/gc20177h.do,https://kau.ac.kr/web/pages/gc78248h.do
Who is eligible for insurance premium support?,https://kau.ac.kr/web/pages/gc12217h.do,https://kau.ac.kr/web/pages/gc1021h.do
Please tell us about insurance premium support.,https://kau.ac.kr/web/pages/gc12217h.do,https://kau.ac.kr/web/pages/gc1021h.do
How do I claim insurance?,https://kau.ac.kr/web/pages/gc12217h.do,https://kau.ac.kr/web/pages/gc1021h.do
Please let me know about alternative documents when claiming insurance premiums.,https://kau.ac.kr/web/pages/gc12217h.do,https://kau.ac.kr/web/pages/gc86171h.do
Who is awarded the CSAT top scholarship?,https://kau.ac.kr/web/pages/gc98903h.do,http://college.kau.ac.kr/web/pages/gc75909h.do
On what basis is the Hanjin Group (undergraduate (department) senior) scholarship awarded?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc81492h.do
On what basis is the standard scholarship awarded?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc78248h.do
In what cases is the academic achievement scholarship awarded to international freshmen?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc78248h.do
What are the criteria for awarding scholarships to people of national merit?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc78248h.do
What are the criteria for awarding scholarships to North Korean defectors?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc78248h.do
What are the criteria for awarding scholarships to international students?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc78248h.do
What are the criteria for awarding international exchange student scholarships?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc78248h.do
On what basis is the Eunik Scholarship awarded?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc81492h.do
On what basis are contract department scholarships awarded?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc81492h.do
On what basis are exchange student scholarships awarded?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc81492h.do
What are the criteria for awarding overseas study scholarships?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc78248h.do
On what basis are service scholarships awarded?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc18564h.do
What are the criteria for awarding Hangang University scholarships?,https://kau.ac.kr/web/pages/gc98903h.do,https://kau.ac.kr/web/pages/gc78248h.do
What are the criteria for awarding scholarships to military entrusted students?,https://kau.ac.kr/web/pages/gc98903h.do,http://college.kau.ac.kr/web/pages/gc75909h.do
